Date,Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Drink %,Drink,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
12/31/20,2,3,68,444,,1/1/21 1:09,0.0,0,0.0,0,0.096,0,0.176,-0.03,150,-0.0891,-0.003,0.0,0.148,0.3609,8,0.063
12/30/20,0,1,27,729,,12/31/20 0:52,0.0,0,0.0,0,0.072,0,0.202,-0.03,240,-0.2281,-0.003,0.0,0.072,0.0849,1,0.0
12/29/20,1,2,33,915,,12/30/20 2:30,-0.03,1,0.0,0,0.084,0,0.198,-0.03,90,-0.0321,-0.003,0.0,0.023,0.2349,10,0.025
12/28/20,7,3,95,414,,12/29/20 0:34,0.0,0,0.083,15,0.096,35,0.158,0.019,130,-0.0669,-0.003,0.0,0.156,0.6171,10,0.175
12/27/20,8,4,61,229,,12/27/20 11:45,-0.03,1,0.083,15,0.108,32,0.18,0.018,105,-0.0437,-0.003,0.0,0.205,0.6843,12,0.167
12/23/20,8,4,103,241,,12/24/20 1:06,0.0,0,0.083,15,0.108,45,0.153,0.025,150,-0.0891,0.0,,0.202,0.6639,11,0.182
12/22/20,9,3,113,114,,12/22/20 15:15,0.0,0,0.083,15,0.096,50,0.147,0.028,140,-0.0776,0.0,,0.236,0.7174,11,0.205
12/21/20,7,3,117,243,,12/21/20 14:01,0.0,0,0.0,0,0.096,15,0.144,0.008,180,-0.1283,0.0,,0.201,0.4557,13,0.135
12/20/20,3,3,56,178,,12/21/20 0:07,0.0,0,0.0,0,0.096,0,0.183,-0.03,60,-0.0143,0.0,,0.219,0.5367,9,0.083
12/19/20,8,4,64,90,,12/20/20 1:50,0.0,0,0.083,15,0.108,45,0.178,0.025,60,-0.0143,0.0,,0.242,0.8217,10,0.2
12/17/20,11,5,99,252,,12/18/20 4:57,-0.03,1,0.166,30,0.12,0,0.156,-0.03,0,0.0,0.0,,0.199,0.831,11,0.25
12/16/20,11,4,101,165,,12/16/20 12:25,0.0,0,0.083,15,0.108,0,0.154,-0.03,90,-0.0321,0.0,,0.222,0.7549,11,0.25
12/15/20,9,3,67,300,,12/16/20 2:28,0.0,0,0.083,15,0.096,0,0.176,-0.03,200,-0.1584,0.0,,0.186,0.5776,10,0.225
12/14/20,5,1,75,50,,12/14/20 12:18,0.0,0,0.0,0,0.072,0,0.171,-0.03,180,-0.1283,0.0,,0.253,0.4627,10,0.125
12/13/20,9,1,55,525,,12/13/20 10:50,0.0,0,0.083,15,0.072,0,0.184,-0.03,110,-0.0479,0.0,,0.126,0.6121,10,0.225
12/12/20,10,5,49,295,,12/12/20 13:06,0.0,0,0.083,15,0.12,0,0.188,-0.03,120,-0.057,0.0,,0.188,0.742,10,0.25
12/11/20,9,5,83,304,,12/11/20 9:08,0.0,0,0.083,15,0.12,0,0.166,-0.03,-80,0.0253,0.0,,0.185,0.7743,10,0.225
12/10/20,14,5,130,240,,12/11/20 0:00,0.0,0,0.083,15,0.12,15,0.136,0.008,180,-0.1283,0.0,,0.202,0.6707,14,0.25
12/9/20,14,4,102,198,,12/9/20 12:48,0.0,0,0.083,15,0.108,25,0.154,0.014,100,-0.0396,0.0,,0.213,0.7824,14,0.25
12/8/20,16,4,96,133,,12/8/20 22:29,0.0,0,0.083,15,0.108,30,0.158,0.017,-8,0.0003,0.0,,0.231,0.8723,16,0.275
12/7/20,7,2,68,209,,12/7/20 23:07,0.0,0,0.0,0,0.084,0,0.176,-0.03,180,-0.1283,0.0,,0.21,0.4367,14,0.125
12/6/20,12,4,46,322,,12/6/20 23:29,0.0,0,0.0,0,0.108,30,0.19,0.017,0,0.0,0.0,,0.18,0.709,14,0.214
12/5/20,13,4,56,412,,12/5/20 23:39,0.0,0,0.0,0,0.108,0,0.183,-0.03,0,0.0,0.0,,0.156,0.64,16,0.223
12/4/20,12,3,69,420,,12/4/20 15:27,0.0,0,0.083,15,0.096,0,0.175,-0.03,180,-0.1283,0.0,,0.154,0.5697,15,0.22
12/3/20,16,4,90,443,,12/3/20 10:20,0.0,0,0.083,15,0.108,25,0.161,0.014,70,-0.0194,0.0,,0.148,0.7696,16,0.275
12/2/20,16,4,94,228,,12/3/20 0:35,0.0,0,0.083,15,0.108,23,0.159,0.013,0,0.0,0.0,,0.205,0.843,16,0.275
12/1/20,15,4,108,210,,12/1/20 14:17,0.0,0,0.083,15,0.108,0,0.15,-0.03,120,-0.057,0.0,,0.21,0.706,17,0.242
