Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Meditation %,Meditation,Mentality,Multiple %,Multiple EST,Satisfaction,Reading,Pick up %,Productivity,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Social,Tech,Total,Tot To-do,Work done %,Key_words
8,2.6,114,495,0,6/1/2022 3:33,2022-05-31,0.0,0,0.107,15,3,0.1198,2.6,3,23,0.045,2,0.051,-60,0.0597,0.0133,1.13,0.117,4,1,0.7738,10,0.261,['Job Search/Interview'-'Coding'-'Technology']
4,3.6,211,282,0,5/26/2022 6:10,2022-05-25,-0.03,1,0.0,0,4,0.1428,3.6,4,0,0.026,4,-0.03,-75,0.0744,-0.003,0.0,0.167,4,2,0.5342,7,0.187,['Drink'-'Travel'-'SQL']
4,3.4,64,332,0,5/25/2022 3:49,2022-05-24,0.0,0,0.0,0,3,0.1382,3.4,4,0,0.055,4,-0.03,-7,0.007,-0.003,0.0,0.155,4,2,0.5092,7,0.187,['Exercise'-'Coding'-'SQL']
9,4.2,74,245,0,5/24/2022 2:47,2022-05-23,0.0,0,0.107,15,4,0.1566,4.2,4,13,0.053,4,0.029,164,-0.1584,-0.003,0.0,0.176,5,4,0.6542,10,0.294,['Coding'-'Python'-'Productive']
3,1.8,53,433,0,5/23/2022 4:58,2022-05-22,-0.03,1,0.0,0,2,0.1014,1.8,2,0,0.057,2,-0.03,120,-0.1177,-0.003,0.0,0.132,2,1,0.2497,7,0.14,['Technology'-'instagram'-'Coding']
6,2.8,76,230,0,5/22/2022 3:53,2022-05-21,-0.03,1,0.0,0,3,0.1244,2.8,3,0,0.053,2,-0.03,150,-0.1457,-0.003,0.0,0.179,4,2,0.3437,10,0.196,['Movies'-'Relax'-'Coding']
3,3.4,75,158,0,5/19/2022 4:40,2022-05-18,-0.03,1,0.0,0,3,0.1382,3.4,3,0,0.053,4,-0.03,60,-0.0597,-0.003,0.0,0.196,3,4,0.4045,7,0.14,['Exam'-'Data Analytics'-'Relax']
4,2.8,72,100,0,5/18/2022 4:33,2022-05-17,0.0,0,0.0,0,3,0.1244,2.8,3,0,0.054,3,-0.03,-60,0.0597,-0.003,0.0,0.209,2,3,0.5771,8,0.163,['Exam'-'Project'-'Netflix']
5,2.6,71,154,0,5/17/2022 3:22,2022-05-16,0.0,0,0.0,0,2,0.1198,2.6,2,0,0.054,3,-0.03,30,-0.03,-0.003,0.0,0.197,4,2,0.4898,9,0.182,['Exam'-'Unmotivated'-'Overwhelmed']
3,2.6,47,255,0,5/16/2022 3:39,2022-05-15,0.0,0,0.0,0,2,0.1198,2.6,2,0,0.059,3,-0.03,133,-0.1299,-0.003,0.0,0.173,4,2,0.3519,6,0.163,['Study'-'Technology'-'Overwhelmed']
2,2.4,82,269,0,5/15/2022 4:46,2022-05-14,0.0,0,0.0,0,2,0.1152,2.4,2,0,0.052,2,-0.03,100,-0.0987,-0.003,0.0,0.17,4,2,0.3145,6,0.109,['Lazy'-'Exam'-'Grateful']
4,3.4,137,189,0,5/14/2022 5:14,2022-05-13,-0.03,1,0.0,0,3,0.1382,3.4,3,0,0.041,3,-0.03,-20,0.02,-0.003,0.0,0.189,5,3,0.4562,10,0.131,['Drink'-'Movies'-'Exam']
9,3.0,129,181,0,5/13/2022 3:10,2022-05-12,0.0,0,0.0,0,2,0.129,3.0,3,0,0.042,3,-0.03,-20,0.02,-0.003,0.0,0.19,4,3,0.603,12,0.255,['Exam'-'Study'-'Tired']
8,2.6,72,199,0,5/12/2022 3:22,2022-05-11,0.0,0,0.0,0,3,0.1198,2.6,3,0,0.054,3,-0.03,145,-0.1411,-0.003,0.0,0.186,2,2,0.3947,13,0.209,['Statistics'-'Math'-'Procrastination']
13,2.0,69,242,0,5/11/2022 2:36,2022-05-10,0.0,0,0.0,0,2,0.106,2.0,2,0,0.054,2,-0.03,-30,0.03,-0.003,0.0,0.176,2,2,0.628,15,0.295,['Technology'-'Tired'-'Unmotivated']
12,2.8,91,186,0,5/10/2022 4:18,2022-05-09,0.0,0,0.107,15,3,0.1244,2.8,3,0,0.05,3,-0.03,70,-0.0695,-0.003,0.0,0.189,2,3,0.6229,16,0.255,['Tired'-'Overwhelmed'-'Busy']
5,2.6,73,92,0,5/9/2022 4:15,2022-05-08,0.0,0,0.0,0,2,0.1198,2.6,2,0,0.053,3,-0.03,210,-0.1985,-0.003,0.0,0.211,3,3,0.2733,14,0.121,['Busy'-'Procrastination'-'Project']
